destination,source,balance
Singapore,Albania,1177750
Sierra Leone,Albania,122767
El Salvador,Albania,833
San Marino,Albania,215823
Serbia,Albania,325425974
Slovakia,Albania,5580624
Slovenia,Albania,31339214
Sweden,Albania,21658265
Swaziland,Albania,2325
Syria,Albania,11752
Turks and Caicos Isds,Albania,138262
Chad,Albania,13823
Togo,Albania,55757
Thailand,Albania,226922
Turkmenistan,Albania,103178
Tunisia,Albania,288972
Turkey,Albania,19943109
Tanzania,Albania,21552
Uganda,Albania,758
Ukraine,Albania,2283266
Uruguay,Albania,12706
United States,Albania,49590301
Venezuela,Albania,72
Vietnam,Albania,2376457
Yemen,Albania,20184
South Africa,Albania,199727
Afghanistan,Andorra,4
Angola,Andorra,535
Andorra,Andorra,44685
United Arab Emirates,Andorra,1173320
Argentina,Andorra,55740
Armenia,Andorra,1288
Australia,Andorra,176827
Austria,Andorra,2915458
Azerbaijan,Andorra,3172
Belgium,Andorra,482904
Bangladesh,Andorra,229
Bulgaria,Andorra,49665
Bahrain,Andorra,3039
Bosnia And Herzegovina,Andorra,881
Belarus,Andorra,41862
Bolivia,Andorra,1302
Brazil,Andorra,15013
Barbados,Andorra,54
Brunei,Andorra,250
Canada,Andorra,45559
Switzerland,Andorra,738768
Chile,Andorra,54480
China,Andorra,629832
Congo,Andorra,829
Colombia,Andorra,100228
Cape Verde,Andorra,21
Costa Rica,Andorra,19305
Cuba,Andorra,5660
Cyprus,Andorra,2437
Czech Republic,Andorra,63727
Germany,Andorra,1051281
Denmark,Andorra,66511
Dominican Republic,Andorra,6747
Algeria,Andorra,39852
Ecuador,Andorra,12348
Egypt,Andorra,54
Spain,Andorra,79905930
Estonia,Andorra,1160
Finland,Andorra,31792
Fiji,Andorra,49
France,Andorra,23652808
United Kingdom,Andorra,342303
Ghana,Andorra,5466
Gibraltar,Andorra,237
Greece,Andorra,8661
Guatemala,Andorra,211694
Guyana,Andorra,24596
Hong Kong,Andorra,2535925
Honduras,Andorra,301815
Croatia,Andorra,6473
Haiti,Andorra,55
Hungary,Andorra,10732
Indonesia,Andorra,1988
India,Andorra,826
Ireland,Andorra,13612
Iran,Andorra,49149
Iraq,Andorra,341
Iceland,Andorra,471
Israel,Andorra,375111
Italy,Andorra,1398535
Jamaica,Andorra,23
Jordan,Andorra,136248
Japan,Andorra,90752
